category,subcategory,name,type,defaults,recommendation,range,context,docs,comments
Maintenance,Manual Vacuum,vacuum_cost_delay,integer,0,,0ms to 100ms,user,Vacuum cost delay in milliseconds.,"Most of the time, you will want manual vacuum to execute without vacuum_delay, especially if you're using it as part of ETL.  If for some reason you can't use autovacuum on an OLTP database, however, you may want to increase this to 20ms to decrease the impact vacuum has on currently running queries.  Will cause vacuum to take up to twice as long to complete."
Maintenance,Manual Vacuum,vacuum_cost_limit,integer,200,default,1 to 10000,user,Vacuum cost amount available before napping.,
Maintenance,Manual Vacuum,vacuum_cost_page_dirty,integer,20,default,0 to 10000,user,Vacuum cost for a page dirtied by vacuum.,
Maintenance,Manual Vacuum,vacuum_cost_page_hit,integer,1,default,0 to 10000,user,Vacuum cost for a page found in the buffer cache.,
Maintenance,Manual Vacuum,vacuum_cost_page_miss,integer,10,default,0 to 10000,user,Vacuum cost for a page not found in the buffer cache.,
Maintenance,Manual Vacuum,vacuum_freeze_min_age,integer,50000000,"lower, varies",0 to 1000000000,user,Minimum age at which VACUUM should freeze a table row.,"Most users will want to decrease this so that rows which have been cold for a long time get frozen earlier, and avoid an autovacuum_freeze.  The suggestion of 500000 is for a moderately busy database; do not set to less than a few hours worth of XIDs.  Maximum setting is 1/2 of autovaccuum_max_freeze_age."
Maintenance,Manual Vacuum,vacuum_freeze_table_age,integer,150000000,400000000,0 to 2000000000,user,Age at which VACUUM should scan whole table to freeze tuples.,"Generally set to 80% of autovacuum_max_freeze age to preempt a full vacuum freeze.  If you can schedule cron vacuums during application slow periods, it might be valuable to lower this value in order to encourage vacuum freezing of tables before they are triggered by autovacuum."
Maintenance,Manual Vacuum,vacuum_multixact_freeze_min_age,integer,5000000,"lower, varies",0 to 1000000000,user,Minimum age at which VACUUM should freeze a MultiXactId in a table row.,"Like freeze_min_age, lower this to somewhere around an hour of XID burn.  Try starting with 500000."
Maintenance,Manual Vacuum,vacuum_multixact_freeze_table_age,integer,150000000,350000000,0 to 2000000000,user,Multixact age at which VACUUM should scan whole table to freeze tuples.,Set to 80% of autovaccum_multixact_freeze_max_age
Maintenance,Autovacuum,autovacuum,bool,on,on,,sighup,Starts the autovacuum subprocess.,"Starts the daemon which cleans up your tables and indexes, preventing bloat and poor response times. The only reason to set it to “off” is for databases which regularly do large batch operations like ETL.  Note that you can adjust the frequency or stop autovacuum on individual tables by adding rows to the pg_autovacuum system table."
Maintenance,Autovacuum,autovacuum_analyze_scale_factor,real,0.1,default,0 to 100,sighup,"Number of tuple inserts, updates, or deletes prior to analyze as a fraction of reltuples.","This setting should be optimal for most databases.  However, very large tables (1m rows or more) in which rows are added in a skewed fashion may need to be autoanalyzed at a lower percentage, such as 5% or even 1%."
Maintenance,Autovacuum,autovacuum_analyze_threshold,integer,50,default,0 to 2147483647,sighup,"Minimum number of tuple inserts, updates, or deletes prior to analyze.",
Maintenance,Autovacuum,autovacuum_freeze_max_age,integer,200000000,500000000,100000 to 2000000000,postmaster,Age at which to autovacuum a table to prevent transaction ID wraparound.,"Triggers autovacuum automatically if a table is about to suffer from XID rollover. The setting is very conservative, and should probably be increased to 500million, but not higher."
Maintenance,Autovacuum,autovacuum_max_workers,integer,3,default,1 to 262143,postmaster,Sets the maximum number of simultaneously running autovacuum worker processes.,"If you have an installation with many tables (100's to 1000's) or with some tables which autovacuum takes hours to process, you may want to add additional autovacuum workers so that multiple tables can be vacuumed at once.  Be conservative, though, as each autovacuum worker will utilize a separate CPU core, memory and I/O."
Maintenance,Autovacuum,autovacuum_multixact_freeze_max_age,integer,400000000,default,10000 to 2000000000,postmaster,Multixact age at which to autovacuum a table to prevent multixact wraparound.,Triggers autovacuum automatically when the oldest “multixact” (a kind of lock transaction) is more than this old.  Do not raise past 1billion.
Maintenance,Autovacuum,autovacuum_naptime,integer,60,default,1s to 2147483s,sighup,Time to sleep between autovacuum runs.,"Decrease this to 30s or 15s if you have a large number (100's) of tables, or if you otherwise see from pg_stat_user_tables that autovacuum is not keeping up."
Maintenance,Autovacuum,autovacuum_vacuum_cost_delay,integer,20,default,-1ms to 100ms,sighup,"Vacuum cost delay in milliseconds, for autovacuum.","If autovacuum is having too much of a performance impact on running queries, you might want to increase this setting to 50ms.  However, this will also cause individual vacuum tasks to take longer."
Maintenance,Autovacuum,autovacuum_vacuum_cost_limit,integer,-1,default,-1 to 10000,sighup,"Vacuum cost amount available before napping, for autovacuum.",
Maintenance,Autovacuum,autovacuum_vacuum_scale_factor,real,0.2,default,0 to 100,sighup,Number of tuple updates or deletes prior to vacuum as a fraction of reltuples.,
Maintenance,Autovacuum,autovacuum_vacuum_threshold,integer,50,default,0 to 2147483647,sighup,Minimum number of tuple updates or deletes prior to vacuum.,
Maintenance,Autovacuum,autovacuum_work_mem,memory,-1,AvRAM / workers / 4,-1kB to 2147483647kB,sighup,Sets the maximum memory to be used by each autovacuum worker process.,Set a limit on this which is based on the number of autovac workers you expect to have running.
Reporting and Logging,Where to Log,log_destination,string,csvlog,varies,,sighup,Sets the destination for server log output.,"Your choice of log destination depends on your system administration plans and the status of your server.  “syslog” or “eventlog” (Windows) are good choices for most development servers, because they can support centralized log monitors.  For development and testing, however, “csvlog” is probably the most useful, as it allows you to run queries against the log contents."
Reporting and Logging,Where to Log,log_directory,string,pg_log,varies,,sighup,Sets the destination directory for log files.,"If you are having PostgreSQL keep its own activity logs on a production server, it's probably a good idea to locate them on separate storage from the database and transaction log."
Reporting and Logging,Where to Log,log_file_mode,integer,600,default,0 to 511,sighup,Sets the file permissions for log files.,"… unless you need to share the log with Postgres' unix group, in which case set it to 660."
Reporting and Logging,Where to Log,log_filename,string,postgresql-%Y-%m-%d_%H%M%S.log,varies,,sighup,Sets the file name pattern for log files.,"If you want your logs to rotate automatically without needing a cron job to delete old logs, try naming them after the days of the week or the month so they overwrite automatically (i.e. 'postgresql-%a' or 'postgresql-%d').  This also helps with log analysis."
Reporting and Logging,Where to Log,logging_collector,bool,on,on,,postmaster,Start a subprocess to capture stderr output and/or csvlogs into log files.,Only relevant for “csvlog” and “stderr”.
Reporting and Logging,Where to Log,log_rotation_age,integer,1440,default,0min to 35791394min,sighup,Automatic log file rotation will occur after N minutes.,1d is generally good for production.  Set to 1h to rotate logs hourly when doing performance analysis.
Reporting and Logging,Where to Log,log_rotation_size,memory,10MB,1GB,0kB to 2097151kB,sighup,Automatic log file rotation will occur after N kilobytes.,Default is quite small if you have any extra logging turned on at all.  Increase to avoid the creation of additional log segments with hard-to-predict names.
Reporting and Logging,Where to Log,log_truncate_on_rotation,bool,off,on,,sighup,Truncate existing log files of same name during log rotation.,Set to “on” for production with a reusable logfile name to limit log accumulation if you don't have a sysadmin script to do so.
Reporting and Logging,Where to Log,syslog_facility,string,LOCAL0,varies,"local0,local1,local2,local3,local4,local5,local6,local7",sighup,"Sets the syslog ""facility"" to be used when syslog enabled.",Change the logserver facility if you are having a conflict with other applications.
Reporting and Logging,Where to Log,syslog_ident,string,postgres,POSTGRES_$HOST,,sighup,Sets the program name used to identify PostgreSQL messages in syslog.,"If using a centralized logserver or if you have multiple Postgres instances, you probably want to identify your postgresql instance by hostname."
Reporting and Logging,When to Log,client_min_messages,ENUM,notice,default,"debug5,debug4,debug3,debug2,debug1,log,notice,warning,error",user,Sets the message levels that are sent to the client.,"Unless doing interactive debugging, then you want it set to DEBUG1-5.  If you have a client application which is confused by some of PostgreSQL's WARNINGs then you may want to set this to ERROR."
Reporting and Logging,When to Log,log_autovacuum_min_duration,integer,-1,1min,-1ms to 2147483647ms,sighup,Sets the minimum execution time above which autovacuum actions will be logged.,Logs all autovacuum actions which take more than the specified time.  Useful for figuring out if autovacuum is bogging down your system or blocking.
Reporting and Logging,When to Log,log_error_verbosity,ENUM,default,default,"terse,default,verbose",superuser,Sets the verbosity of logged messages.,"Unless doing intensive debugging.  Alternately, set to TERSE if managing log volume is becoming a problem."
Reporting and Logging,When to Log,log_min_duration_statement,integer,-1,1min,-1ms to 2147483647ms,superuser,Sets the minimum execution time above which statements will be logged.,"Possibly the most generally useful log setting for troubleshooting performance, especially on a production server.  Records only long-running queries for analysis; since these are often your ""problem"" queries, these are the most useful ones to know about.  Used for pg_fouine."
Reporting and Logging,When to Log,log_min_error_statement,ENUM,error,default,"debug5,debug4,debug3,debug2,debug1,info,notice,warning,error,log,fatal,panic",superuser,Causes all statements generating error at or above this level to be logged.,"Logs SQL statements which error.  If you have an application which routinely generates errors and can't fix it, then raise the level to FATAL or PANIC."
Reporting and Logging,When to Log,log_min_messages,ENUM,notice,default,"debug5,debug4,debug3,debug2,debug1,info,notice,warning,error,log,fatal,panic",superuser,Sets the message levels that are logged.,"Unless doing serious troubleshooting.  If you want to output parses and plans, set to DEBUG1."
Reporting and Logging,What to Log,debug_pretty_print,bool,off,on,,user,Indents parse and plan tree displays.,For debugging a testing machine.  Do not set in production.
Reporting and Logging,What to Log,debug_print_parse,bool,off,default,,user,Logs each query's parse tree.,For debugging a testing machine.  Do not set in production.
Reporting and Logging,What to Log,debug_print_plan,bool,off,default,,user,Logs each query's execution plan.,For debugging a testing machine.  Do not set in production.
Reporting and Logging,What to Log,debug_print_rewritten,bool,off,default,,user,Logs each query's rewritten parse tree.,For debugging a testing machine.  Do not set in production.
Reporting and Logging,What to Log,log_checkpoints,bool,off,varies,,sighup,Logs each checkpoint.,"When doing performance analysis, it's often a good idea to turn on most of the logging options and log them to a CSVlog.  "
Reporting and Logging,What to Log,log_connections,bool,off,varies,,superuser-backend,Logs each successful connection.,Useful for performance analysis.
Reporting and Logging,What to Log,log_disconnections,bool,off,varies,,superuser-backend,"Logs end of a session, including duration.",Useful for performance analysis.
Reporting and Logging,What to Log,log_duration,bool,on,varies,,superuser,Logs the duration of each completed SQL statement.,Useful for performance analysis.
Reporting and Logging,What to Log,log_hostname,bool,off,off,,sighup,Logs the host name in the connection logs.,"As this setting requires resolution of each connecting hostname, it's pretty much always too expensive to have on, even when troubleshooting."
Reporting and Logging,What to Log,log_line_prefix,string,,default,,sighup,Controls information prefixed to each log line.,"Primarily useful for providing extra information when logging to syslog or eventlog.  Try ""%h:%d:%u:%c  %t"" for this."
Reporting and Logging,What to Log,log_lock_waits,bool,off,varies,,superuser,Logs long lock waits.,Useful for performance analysis.
Reporting and Logging,What to Log,log_replication_commands,bool,off,on,,superuser,Logs each replication command.,"… assuming you're monitoring replication status, which you should."
Reporting and Logging,What to Log,log_statement,ENUM,none,varies,"none,ddl,mod,all",superuser,Sets the type of statements logged.,"For exhaustive performance analysis on test systems, set to 'all'.  Most production setups will just want to use 'ddl' to make sure to record database-altering actions, but very secure setups may want to use 'mod' or even 'all'.  Can produce a lot of log volume."
Reporting and Logging,What to Log,log_temp_files,memory,-1,varies,-1kB to 2147483647kB,superuser,Log the use of temporary files larger than this number of kilobytes.,"This logger is used for troubleshooting sorts and other activities which are spilling to disk.  If you use it at all, it's probably good to set it a something low like 1kB so that you know each query that spilled to disk, since any disk spill at all causes a dramatic slowdown in the query.  Can be used to see if you need more work_mem, temp_mem or maintenance_work_mem."
Reporting and Logging,What to Log,log_timezone,string,per ENV,local timezone,,sighup,Sets the time zone to use in log messages.,"To avoid confusion, it's often useful to log to the timezone where the DBA or sysadmin lives."
Reporting and Logging,What to Log,syslog_sequence_numbers,bool,on,default,,sighup,Add sequence number to syslog messages to avoid duplicate suppression.,
Reporting and Logging,What to Log,syslog_split_messages,bool,on,default,,sighup,Split messages sent to syslog by lines and to fit into 1024 bytes.,
Lock Management,,deadlock_timeout,time,1sec,default,1ms to 2147483647ms,superuser,Sets the time to wait on a lock before checking for deadlock.,"Default is fine, except when you are troubleshooting/monitoring locks.  In that case, you may want to lower it to as little as 50ms."
Lock Management,,max_locks_per_transaction,integer,64,default,10 to 2147483647,postmaster,Sets the maximum number of locks per transaction.,Some databases with very complex schema or with many long-running tranactions need a higher amount.  This is rare though.
Lock Management,,max_pred_locks_per_page,integer,2,default,0 to 2147483647,sighup,Sets the maximum number of predicate-locked tuples per page.,
Lock Management,,max_pred_locks_per_relation,integer,-2 (disabled),,-2147483648 to 2147483647,sighup,Sets the maximum number of predicate-locked pages and tuples per relation.,
Lock Management,,max_pred_locks_per_transaction,integer,64,default,10 to 2147483647,postmaster,Sets the maximum number of predicate locks per transaction.,"Raise if you have a lot of tables and are seeing some transactions fail, but modestly as a larger transaction table is expensive."
Locale & Formatting,Display,DateStyle,list,"ISO, MDY",default,,user,Sets the display format for date and time values.,Should be set according to the format in which you expect to receive date information.
Locale & Formatting,Display,extra_float_digits,integer,0,default,-15 to 3,user,Sets the number of digits displayed for floating-point values.,"Only significant for applications which do a lot of float calculations, like scientific databases."
Locale & Formatting,Display,IntervalStyle,enum,postgres,default,"postgres,postgres_verbose,sql_standard,iso_8601",user,Sets the display format for interval values.,This is just in case your applications are expecting something specific in how INTERVAL strings are output.
Locale & Formatting,Display,TimeZone,string,per ENV,default,,user,Sets the time zone for displaying and interpreting time stamps.,"To avoid a lot of confusion, make sure this is set to your local timeszone.  If the server covers multiple time zones, then this should be set on a ROLE or connection basis."
Locale & Formatting,Display,timezone_abbreviations,string,Default,default,,user,Selects a file of time zone abbreviations.,See appendencies for alternatives.
Locale & Formatting,Locale,client_encoding,string,per ENV,default,,user,Sets the client's character set encoding.,Should match server_encoding unless you have a really good reason why not.
Locale & Formatting,Locale,lc_collate,string,as compiled,N/A,,internal,Shows the collation order locale.,Set at initdb time.  Displayed for information only.
Locale & Formatting,Locale,lc_ctype,string,as compiled,N/A,,internal,Shows the character classification and case conversion locale.,Set at initdb time.  Displayed for information only.
Locale & Formatting,Locale,lc_messages,string,as compiled,default,,superuser,Sets the language in which messages are displayed.,
Locale & Formatting,Locale,lc_monetary,string,as compiled,default,,user,Sets the locale for formatting monetary amounts.,
Locale & Formatting,Locale,lc_numeric,string,as compiled,default,,user,Sets the locale for formatting numbers.,
Locale & Formatting,Locale,lc_time,string,as compiled,default,,user,Sets the locale for formatting date and time values.,
Locale & Formatting,Locale,server_encoding,string,per ENV,N/A,,internal,Sets the server (database) character set encoding.,Set at initdb time.  Displayed for information only.
Other Settings & Defaults,Identification,application_name,string,psql,name,,user,Sets the application name to be reported in statistics and logs.,"Set this to a reasonable default for most user sessions; if in the middle of working over your application to support application names, this might be “unknown”."
Other Settings & Defaults,Identification,cluster_name,string,NULL,set,,postmaster,"Sets the name of the cluster, which is included in the process title.",Should be “postgres-1” or something else identifiable as this specific postmaster.
Other Settings & Defaults,Identification,event_source,string,NULL,set,,postmaster,Sets the application name used to identify PostgreSQL messages in the event log.,Should be “postgres-1” or something else identifiable as this specific postmaster.
Other Settings & Defaults,Default Locations,default_tablespace,string,,default,,user,Sets the default tablespace to create tables and indexes in.,"Change this if you want a different tablespace for user-created tables.  Generally, better set on a ROLE or session basis."
Other Settings & Defaults,Default Locations,search_path,list,"""$user"",public",varies,,user,Sets the schema search order for names that are not schema-qualified.,"Most DBAs either use the default or set search_path on a ROLE or database object basis.  The one reason to set it in postgresql.conf is if you are taking the security step of removing the special ""public"" schema in order to lock down your database."
Other Settings & Defaults,Default Locations,temp_tablespaces,list,,default,,user,Sets the tablespace(s) to use for temporary tables and sort files.,"For applications which create lots of temporary objects, this setting can be used to put the temp space on a faster/separate device, or even a ramdisk.  Because it accepts a list, it can even be used to load balance temp object creation among several tablespaces."
Other Settings & Defaults,Libraries,dynamic_library_path,string,$libdir,default,,superuser,Sets the path for dynamically loadable modules.,Primarily useful if you've written lots of custom C libraries for your installation and want to organize them into custom directories.
Other Settings & Defaults,Libraries,local_preload_libraries,string,,default,,user,Lists unprivileged shared libraries to preload into each backend.,"This is largely a convenience setting, automatically loading libraries listed without needing an explicit load command.  Has no effect on performance."
Other Settings & Defaults,Replication,session_replication_role,ENUM,origin,default,"origin,replica,local",superuser,Sets the session's behavior for triggers and rewrite rules.,"Only gets changed for databases which are taking part in a replication chain.  In that case, ""origin"" servers fire replication (and other) triggers, and ""replica"" do not.  Part of the generic replication hooks which are used by Slony and Bucardo."
Other Settings & Defaults,Statement Behavior,default_transaction_deferrable,bool,off,default,,user,Sets the default deferrable status of new transactions.,"If you use serializable transactions by default, it may be also useful to set this in order to decrease the overhead of long-running transactions."
Other Settings & Defaults,Statement Behavior,default_transaction_isolation,ENUM,read committed,default,"serializable,repeatable read,read committed,read uncommitted",user,Sets the transaction isolation level of each new transaction.,Relates to transaction_isolation.  Better set on a session or transaction basis as transaction_isolation in order to support specific types of transaction conflict resolution.
Other Settings & Defaults,Statement Behavior,default_transaction_read_only,bool,off,default,,user,Sets the default read-only status of new transactions.,"This setting is mainly useful for preventing yourself from accidentally changing data.  It is not really a security setting, as anyone can revoke it on their own session.  Better set on a session or ROLE level.  Will show up as TRUE if you are on a replication standby."
Other Settings & Defaults,Statement Behavior,statement_timeout,time,0,varies,0ms to 2147483647ms,user,Sets the maximum allowed duration of any statement.,"Defaults to 0, meaning no timeout.  For most web applications, it's a good idea to set a default timeout, such as 60s to prevent runaway queries from bogging the server.  If set, though, you need to remember to set (at the ROLE or session level) a higher statement_timeout for expected long-running maintenance or batch operations."
Other Settings & Defaults,Statement Behavior,transaction_deferrable,bool,off,,,user,Whether to defer a read-only serializable transaction until it can be executed with no possible serialization failures.,
Other Settings & Defaults,Statement Behavior,transaction_isolation,string,read committed,,,user,Sets the current transaction's isolation level.,"Set per session if you need, for example, SERIALIZABLE semantics to prevent data conflicts for multi-step transactions."
Other Settings & Defaults,Statement Behavior,transaction_read_only,bool,off,,,user,Sets the current transaction's read-only status.,Sets the current transaction to read only.  Useful as part of a SQL injection prevention program.  Shows as TRUE on replication standbys.
Other Settings & Defaults,Text Search,default_text_search_config,string,per ENV,default,,user,Sets default text search configuration.,"Set to the most common language used by the users, so that they don't have to pass the language parameter when calling TSearch functions."
Other Settings & Defaults,Text Search,gin_fuzzy_search_limit,integer,0,varies,0 to 2147483647,user,Sets the maximum allowed result for exact search by GIN.,"If you're going to use GIN queries in a web application, it's generally useful to set a limit on how many rows can be returned from the index just for response times.  However, the maximum number needs to depend on your application; what do users see as an acceptable expression of ""many""?"
Other Settings & Defaults,XML,xmlbinary,ENUM,base64,varies,"base64,hex",user,Sets how binary values are to be encoded in XML.,Set to whatever your client application supports.
Other Settings & Defaults,XML,xmloption,ENUM,content,default,"content,document",user,Sets whether XML data in implicit parsing and serialization operations is to be considered as documents or content fragments.,
Other Settings & Defaults,Other Defaults,check_function_bodies,bool,on,default,,user,Check function bodies during CREATE FUNCTION.,"You only really want to turn this off to resolve circular dependancies, and that can be done on a per-session basis.  In general, checking for syntax errors in PL/pgSQL functions is a very good idea."
Other Settings & Defaults,Other Defaults,exit_on_error,bool,off,default,,user,Terminate session on any error.,
Other Settings & Defaults,Other Defaults,gin_pending_list_limit,memory,4MB,default,64kB to 2147483647kB,user,Sets the maximum size of the pending list for GIN index.,"Unless you have a lot of GIN indexed data and have time to test the performance of fastupdate.  Even then, it's probably better to set it on individual indexes."
Other Settings & Defaults,Other Defaults,restart_after_crash,bool,off,default,,sighup,Reinitialize server after backend crash.,…  unless deliberately running postgres in “ephemeral mode”
Other Settings & Defaults,Other Defaults,row_security,bool,on,on,,user,Enable row security.,…  except when testing row security policies.
Other Settings & Defaults,Other Defaults,session_preload_libraries,string,NULL,default,,superuser,Lists shared libraries to preload into each backend.,Special uses for debugging or for loading application-specific extensions.
Other Settings & Defaults,Timeouts,idle_in_transaction_session_timeout,time,off,1hr,0ms to 2147483647ms,user,Sets the maximum allowed duration of any idling transaction.,"Set to 1 hour maximum, or as low as 1 minute if you know your query load well.  Idle transactions are bad news."
Other Settings & Defaults,Timeouts,lock_timeout,time,0 off,default,0ms to 2147483647ms,user,Sets the maximum allowed duration of any wait for a lock.,… but consider setting this per application or per query for any explicit locking attempts.
Other Settings & Defaults,Timeouts,old_snapshot_threshold,time,-1 (disabled),2hrs,-1min to 86400min,postmaster,Time before a snapshot is too old to read pages changed after the snapshot was taken.,… or the length of the longest transaction you expect to run + 1 hour.
Other Settings & Defaults,Previous PostgreSQL Versions,operator_precedence_warning,bool,off,default,,user,Emit a warning for constructs that changed meaning since PostgreSQL 9.4.,
Other Settings & Defaults,Previous PostgreSQL Versions,quote_all_identifiers,bool,off,default,,user,"When generating SQL fragments, quote all identifiers.",
Preset Options,,block_size,integer,8192,N/A,8192 to 8192,internal,Shows the size of a disk block.,Informational: lets you know of non-standard installation or compile options.
Preset Options,,data_checksums,bool,off,on,,internal,Shows whether data checksums are turned on for this cluster.,"This has to be set at initdb time, and does create a significant amount of extra I/O.  However, it will save you from a corrupt database down the line, so if you're not performance-constrained, always use it."
Preset Options,,integer_datetimes,bool,off,N/A,,internal,Datetimes are integer based.,Informational: lets you know of non-standard installation or compile options.
Preset Options,,max_function_args,integer,100,N/A,100 to 100,internal,Shows the maximum number of function arguments.,Informational: lets you know of non-standard installation or compile options.
Preset Options,,max_identifier_length,integer,63,N/A,63 to 63,internal,Shows the maximum identifier length.,Informational: lets you know of non-standard installation or compile options.
Preset Options,,max_index_keys,integer,32,N/A,32 to 32,internal,Shows the maximum number of index keys.,Informational: lets you know of non-standard installation or compile options.
Preset Options,,segment_size,integer,131072,,1310728kB to 1310728kB,internal,Shows the number of pages per disk file.,Informational: lets you know of non-standard installation or compile options.
Preset Options,,server_version,string,08/03/00,N/A,,internal,Shows the server version.,Informational: lets you know of non-standard installation or compile options.
Preset Options,,server_version_num,integer,80300,N/A,100003 to 100003,internal,Shows the server version as an integer.,Informational: lets you know of non-standard installation or compile options.
Preset Options,,wal_block_size,integer,8192,,8192 to 8192,internal,Shows the block size in the write ahead log.,Informational: lets you know of non-standard installation or compile options.
Preset Options,,wal_segment_size,integer,2048,,20488kB to 20488kB,internal,Shows the number of pages per write ahead log segment.,Informational: lets you know of non-standard installation or compile options.
Version and Platform Compatibility,Other Platforms and Clients,transform_null_equals,bool,off,off,,user,"Treats ""expr=NULL"" as ""expr IS NULL"".","Provided for compatibility with Microsoft Access and similar broken applications which treat ""= NULL"" as the same as ""IS NULL"".  "
Version and Platform Compatibility,Previous PostgreSQL Versions,array_nulls,bool,on,default,,user,Enable input of NULL elements in arrays.,Provided for compatibility with 7.4 behavior.
Version and Platform Compatibility,Previous PostgreSQL Versions,backslash_quote,ENUM,safe_encoding,default,"safe_encoding,on,off",user,"Sets whether ""\'"" is allowed in string literals.","If you have cleaned up your application code, you can set this to 'off' to help lock down the database.  Older PHP applications will require the insecure setting of 'on'."
Version and Platform Compatibility,Previous PostgreSQL Versions,bytea_output,enum,hex,hes,"escape,hex",user,Sets the output format for bytea.,
Version and Platform Compatibility,Previous PostgreSQL Versions,default_with_oids,bool,off,default,,user,Create new tables with OIDs by default.,"Provided for consistency with 7.3 behavior.  Since this creates an OID for every row, can cause OID wraparound in large databases."
Version and Platform Compatibility,Previous PostgreSQL Versions,escape_string_warning,bool,on,off,,user,Warn about backslash escapes in ordinary string literals.,"Useful for providing warnings for interpreted-language applications which may be engaging in unsafe string escape behavior.  Unless you are currently porting or upgrading such an application, though, these warnings are not useful and should be turned off."
Version and Platform Compatibility,Previous PostgreSQL Versions,lo_compat_privileges,bool,off,,,superuser,Enables backward compatibility mode for privilege checks on large objects.,
Version and Platform Compatibility,Previous PostgreSQL Versions,standard_conforming_strings,bool,off,on,,user,Causes '...' strings to treat backslashes literally.,"If you can clean up your application code, this disables use of \ as an escape character except in escaped (E' ') strings.  This is both safer, and less likely to result in unexpected output for things like Windows filepaths."
Version and Platform Compatibility,Previous PostgreSQL Versions,synchronize_seqscans,bool,on,on,,user,Enable synchronized sequential scans.,"This new peformance enhancment can also cause rows to be returned in an order other than physical storage order.  For poorly-written older applications, this may break application code; turn it off to disable."
Developer Options,,allow_system_table_mods,bool,off,default,,postmaster,Allows modifications of the structure of system tables.,Only available in single-user mode; this setting is for initdb and may be used in the future for upgrade-in-place.
Developer Options,,debug_assertions,bool,off,default,,internal,Shows whether the running server has assertion checks enabled.,Used for debugging PostgreSQL code problems; not for production use.  Requires compile options.
Developer Options,,ignore_checksum_failure,bool,off,default,,superuser,Continues processing after a checksum failure.,For rescuing a corrupt DB
Developer Options,,ignore_system_indexes,bool,off,default,,backend,Disables reading from system indexes.,Useful for salvaging data from a corrupted database.
Developer Options,,post_auth_delay,integer,0,default,0s to 2147s,backend,Waits N seconds on connection startup after authentication.,Primarily used for attaching debuggers to sessions.
Developer Options,,pre_auth_delay,integer,0,default,0s to 60s,sighup,Waits N seconds on connection startup before authentication.,Primarily used for attaching debuggers to sessions.
Developer Options,,trace_notify,bool,off,default,,user,Generates debugging output for LISTEN and NOTIFY.,The various TRACE options are for debugging specific behaviors interactively. Many of them require compile-time options. trace_notice is for debugging listen/notice.
Developer Options,,trace_recovery_messages,enum,log,,"debug5,debug4,debug3,debug2,debug1,log,notice,warning,error",sighup,Enables logging of recovery-related debugging information.,For troubleshooting replication/PITR failures.
Developer Options,,trace_sort,bool,off,default,,user,Emit information about resource usage in sorting.,For debugging sorts.
Developer Options,,wal_consistency_checking,string,empty,debugging only,,superuser,Sets the WAL resource managers for which WAL consistency checks are done.,
Developer Options,,zero_damaged_pages,bool,off,off,,superuser,Continues processing past damaged page headers.,"Used for salvaging data from a known-bad database.  You should always make a binary backup before using this option, and it should not be used while users are allowed to connect.  After damaged pages are erased, other kinds of data intergrity errors may persist (like broken PKs and FKs).  ZDP should generally be used to get your DB to a stage where the data can be dumped and loaded into a new database."
